SampleID	Genomospecies	n	propGenomospecies
6744078	GS1	9	0.0028310789556464295
6744078	GS10	28	0.008807801195344448
6744078	GS12	2847	0.8955646429694872
6744078	GS14	78	0.024536017615602392
6744078	GS2	5	0.0015728216420257944
6744078	GS6	2	6.291286568103177e-4
6744078	GS7	2	6.291286568103177e-4
6744078	GS8	178	0.055992450456118274
6744078	GS9	30	0.009436929852154765
6744079	GS1	161	0.5812274368231047
6744079	GS2	7	0.02527075812274368
6744079	GS3	12	0.04332129963898917
6744079	GS5	97	0.35018050541516244
6744080	GS12	2	1
6744081	GS5	2	0.4
6744081	GS6	3	0.6
6744082	GS6	4	1
6744083	GS1	42	0.041176470588235294
6744083	GS10	3	0.0029411764705882353
6744083	GS12	5	0.004901960784313725
6744083	GS13	4	0.00392156862745098
6744083	GS14	41	0.04019607843137255
6744083	GS2	183	0.17941176470588235
6744083	GS3	30	0.029411764705882353
6744083	GS4	23	0.022549019607843137
6744083	GS5	7	0.006862745098039216
6744083	GS6	8	0.00784313725490196
6744083	GS7	669	0.6558823529411765
6744083	GS8	5	0.004901960784313725
6744084	GS12	3	0.14285714285714285
6744084	GS6	6	0.2857142857142857
6744084	GS7	12	0.5714285714285714
6744085	GS1	2	0.3333333333333333
6744085	GS2	4	0.6666666666666666
6744089	GS1	7	0.2
6744089	GS5	19	0.5428571428571428
6744089	GS6	4	0.11428571428571428
6744089	GS7	5	0.14285714285714285
6744090	GS1	4	0.029411764705882353
6744090	GS12	5	0.03676470588235294
6744090	GS14	43	0.3161764705882353
6744090	GS2	4	0.029411764705882353
6744090	GS4	9	0.0661764705882353
6744090	GS6	4	0.029411764705882353
6744090	GS7	67	0.49264705882352944
6744093	GS1	6	0.004633204633204633
6744093	GS2	13	0.010038610038610039
6744093	GS5	1266	0.9776061776061776
6744093	GS6	4	0.003088803088803089
6744093	GS7	3	0.0023166023166023165
6744093	GS9	3	0.0023166023166023165
6744096	GS6	3	1
6744100	GS12	4	0.2
6744100	GS14	3	0.15
6744100	GS2	11	0.55
6744100	GS7	2	0.1
6744103	GS1	126	0.2135593220338983
6744103	GS10	7	0.011864406779661017
6744103	GS11	7	0.011864406779661017
6744103	GS2	210	0.3559322033898305
6744103	GS6	2	0.003389830508474576
6744103	GS7	136	0.2305084745762712
6744103	GS8	97	0.16440677966101694
6744103	GS9	5	0.00847457627118644
6744104	GS3	3	0.6
6744104	GS5	2	0.4
6744106	GS1	78	0.12828947368421054
6744106	GS2	5	0.008223684210526315
6744106	GS3	107	0.17598684210526316
6744106	GS4	54	0.08881578947368421
